#%%field-000=date-time,string8
#%%field-001=facility,string8
#%%field-002=level,int8
#%%field-003=mem usage (MB),string8
#%%field-004=message,string8
#
date-time	facility	level	mem usage (MB)	message
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:console-add-neg-select'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:arg-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:check-param'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@serialize-dir'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@short-serialize-names'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@resume-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@debug'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@break'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@dump-classes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@dump-all-param-xml'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@dump-user-param-xml'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:@export-html-doc'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:use-sockets'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:socket-host'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode:socket-port'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-nodes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-nodes-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-nodes-classes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-data-flow'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-param'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-param-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-param-dev'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-param-long-dev'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-all'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@dump-all-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@log-machine-name'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:enable'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:disable'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@serialize'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@serialize-pre'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@serialize-post'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@stop'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:@stop-after'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:run-format-cnv'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main:run-format-igv'
06/23/2025 16:05:54	INFO	1	5	FormatResultEngineNode::doCheckParam(...) start
06/23/2025 16:05:54	INFO	1	5	run-format-cnv: off
06/23/2025 16:05:54	INFO	1	5	run-format-igv: off
06/23/2025 16:05:54	INFO	1	5	FormatResultEngineNode::doCheckParam(...) stop
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-nodes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-nodes-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-nodes-classes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-data-flow'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-param'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-param-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-param-dev'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-param-long-dev'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-all'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@dump-all-long'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@log-machine-name'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:enable'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:disable'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@serialize'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@serialize-pre'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@serialize-post'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@stop'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@stop-after'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:batch-folder'
06/23/2025 16:05:54	info	4	5	MainNode-main-export-node:batch-folder: checking 'C:\Users\Public\Documents\AxiomAnalysisSuite\Output\JD_PFR_Combined_Genotyping' dir should exist.
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:batch-folder-data-dir'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:calls-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:sample-filter-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:sample-attributes-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-alternate-sample-names'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:annotation-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:annotation-columns'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:snp-list-file'
06/23/2025 16:05:54	info	4	5	MainNode-main-export-node:snp-list-file: checking 'C:\Users\curly\Desktop\Apple Genotyping\Methods\Filtering and Preparation\Selected_SNPs.txt' file should exist.
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:snp-identifier-column'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:pedigree-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:cn-region-calls-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-confidence'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-log-ratio'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-strength'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-allele-signals'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-chr-shortname'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-call-format'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-basecall-otv'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:@export-plink-multiallele-snps'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:enable-divider'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:input-plink-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:plink-allele-delimited'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:plink-columns-delimited'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:plink-abstract-callcodes'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:plink-missing-genotype'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:plink-sort-by-chrpos'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:performance-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-txt-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-plink-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-plinkt-file'
06/23/2025 16:05:54	DEBUG	7	5	NodeParam::doCheck(): 'MainNode-main-export-node:export-vcf-file'
06/23/2025 16:05:54	INFO	1	5	***** Option Values *****
06/23/2025 16:05:54	INFO	1	5	batch-folder: C:\Users\Public\Documents\AxiomAnalysisSuite\Output\JD_PFR_Combined_Genotyping
06/23/2025 16:05:54	INFO	1	5	annotation-file: C:\Users\Public\Documents\AxiomAnalysisSuite\Library\Axiom JKI50k Md (Pommier) JKI50kMd\Axiom_JKI50kMd.r1.annot.db
06/23/2025 16:05:54	INFO	1	5	annotation-columns: 
06/23/2025 16:05:54	INFO	1	5	snp-list-file: C:\Users\curly\Desktop\Apple Genotyping\Methods\Filtering and Preparation\Selected_SNPs.txt
06/23/2025 16:05:54	INFO	1	5	snp-identifier-column: probeset_id
06/23/2025 16:05:54	INFO	1	5	export-txt-file: 
06/23/2025 16:05:54	INFO	1	5	export-vcf-file: 
06/23/2025 16:05:54	INFO	1	5	export-plink-file: C:\Users\curly\Desktop\Apple Genotyping\Methods\PLINK Duplicate Identification\JD_PFR_Genotyping
06/23/2025 16:05:54	INFO	1	5	export-plinkt-file: 
06/23/2025 16:05:54	INFO	1	5	export-call-format: call_code
